,features,dicationary
last_3_days_app_total_cnt,1.0,最近3天_app_total_个数
last_3_days_review_total_max,-9999.0,最近3天_热评_total_最大数
last_3_days_review_total_sum,-9999.0,最近3天_热评_total_合计
last_3_days_review_total_avg,-9999.0,最近3天_热评_total_均值
last_3_days_review_total_min,,最近3天_热评_total_最小数
last_3_days_game_total_cnt,0.0,最近3天game_total_个数
last_3_days_game_total_to_whole_ratio,0.0,最近3天game_total_个数与总app数比值
last_3_days_tools_total_cnt,0.0,最近3天tools_total_个数
last_3_days_tools_total_to_whole_ratio,0.0,最近3天tools_total_个数与总app数比值
last_3_days_video_music_total_cnt,0.0,最近3天video_music_total_个数
last_3_days_video_music_total_to_whole_ratio,0.0,最近3天video_music_total_个数与总app数比值
last_3_days_lifestyle_total_cnt,0.0,最近3天lifestyle_total_个数
last_3_days_lifestyle_total_to_whole_ratio,0.0,最近3天lifestyle_total_个数与总app数比值
last_3_days_education_total_cnt,0.0,最近3天education_total_个数
last_3_days_education_total_to_whole_ratio,0.0,最近3天education_total_个数与总app数比值
last_3_days_personal_total_cnt,0.0,最近3天personal_total_个数
last_3_days_personal_total_to_whole_ratio,0.0,最近3天personal_total_个数与总app数比值
last_3_days_ebook_total_cnt,0.0,最近3天ebook_total_个数
last_3_days_ebook_total_to_whole_ratio,0.0,最近3天ebook_total_个数与总app数比值
last_3_days_effication_total_cnt,0.0,最近3天effication_total_个数
last_3_days_effication_total_to_whole_ratio,0.0,最近3天effication_total_个数与总app数比值
last_3_days_entertainment_total_cnt,0.0,最近3天entertainment_total_个数
last_3_days_entertainment_total_to_whole_ratio,0.0,最近3天entertainment_total_个数与总app数比值
last_3_days_communication_total_cnt,0.0,最近3天communication_total_个数
last_3_days_communication_total_to_whole_ratio,0.0,最近3天communication_total_个数与总app数比值
last_3_days_finance_total_cnt,0.0,最近3天finance_total_个数
last_3_days_finance_total_to_whole_ratio,0.0,最近3天finance_total_个数与总app数比值
last_3_days_travel_total_cnt,0.0,最近3天travel_total_个数
last_3_days_travel_total_to_whole_ratio,0.0,最近3天travel_total_个数与总app数比值
last_3_days_business_total_cnt,0.0,最近3天business_total_个数
last_3_days_business_total_to_whole_ratio,0.0,最近3天business_total_个数与总app数比值
last_3_days_shopping_total_cnt,0.0,最近3天shopping_total_个数
last_3_days_shopping_total_to_whole_ratio,0.0,最近3天shopping_total_个数与总app数比值
last_3_days_gamble_total_cnt,0.0,最近3天gamble_total_个数
